Date,Title,Comment,Authors,ISBN,Status
27/07/2023,"Oltre il tempo, Galassia",carino.,,,unmatched
29/07/2023,Noi rifugiati,me lo immaginavo diverso.,"Hannah Arendt, Donatella Di Cesare",9788806257286,matched
01/08/2023,Ci sono posti al mondo dove piu' che le regole e' importante la gentilezza,interessante.,,,unmatched
03/08/2023,Il bambino che sognava la fine del mondo,bello.,Antonio Scurati,9788845265976,matched
04/08/2023,I ragazzi di zinco,bello e agghiacciante.,,,unmatched
05/08/2023,Brutti incontri al chiaro di luna,proprio carino.,,,unmatched
07/08/2023,Non è un paese per vecchi,bello.,Cormac McCarthy,9788806233983,matched
09/08/2023,In un volo di storni,,,,unmatched
10/08/2023,La fabbrica delle scelte,interessante ma bof.,,,unmatched
14/08/2023,"L'età, se esiste",spunti interessanti.,,,unmatched
15/08/2023,Cose che succedono di notte,bof.,,,unmatched
16/08/2023,Cosa faresti se,molto carino.,Gabriele Romagnoli,9788807034411,matched
19/08/2023,Cervelli in guerra,molto interessante.,,,unmatched
20/08/2023,Neanche gli dei,bello.,,,unmatched
21/08/2023,Dei delitti e delle pene,molto interessante.,Cesare Beccaria,9788807901577,matched
23/08/2023,The inner fish,molto interessante.,,,unmatched
24/08/2023,La piattaforma,bello.,,,unmatched
27/08/2023,Skeleton Keys,interessante.,Riley Black (Brian Switek),9780525539124,matched
29/08/2023,La simmetria dei desideri,"mmhh, carino ma bof.",,,unmatched
02/09/2023,Dopamine nation,interessante.,,,unmatched
04/09/2023,Le particelle elementari,bello.,Michel Houellebecq,9788845244575,matched
09/09/2023,The devil you know,molto interessante.,,,unmatched
11/09/2023,Flood,,,,unmatched
17/09/2023,Suoni fragili e selvaggi,prolisso ma spunti interessanti.,,,unmatched
19/09/2023,Racconti brevi e straordinari,,"Jorge Luis Borges, Adolfo Bioy Casares, T. Scarano",9788845934773,matched
21/09/2023,Preghiera per Cernobyl,molto bello.,,,unmatched
28/09/2023,Superbatteri,interessante ma un po' superficiale.,,,unmatched
03/10/2023,I miei stupidi intenti,molto carino.,Bernardo Zannoni,9788838942303,matched
12/10/2023,Probable Impossibilities,bof.,Alan Lightman,9781524749019,matched
20/10/2023,Sentire e conoscere,bof.,,,unmatched
29/10/2023,Imparare a rischiare,interessante.,,,unmatched
30/10/2023,L'isola del Dott. Moreau,carino.,,,unmatched
31/10/2023,La macchina del tempo,"carino, neanche troppo datato.",Herbert George Wells,9788807903748,matched
02/11/2023,Guerre,,,,unmatched
03/11/2023,Wohpe,bello.,Salvatore Sanfilippo,9791280845115,matched
09/11/2023,Tempo di seconda mano,molto bello e duro.,,,unmatched
11/11/2023,Electric State,molto carino.,,,unmatched
12/11/2023,Storia sentimentale del telefono,,,,unmatched
25/11/2023,Come il cervello crea la coscienza,molto interessante.,"Anil Seth, Sara Parmigiani",9788832854954,matched
26/11/2023,Istruzioni per diventare fascisti,"bello, grande perdita la Murgia.",Michela Murgia,9788806240608,matched
27/11/2023,Il capitano e la gloria,carino.,"Dave Eggers, N. Russell, V. Mantovani",9788807034183,matched
28/11/2023,Scolpitelo nel vostro cuore,bello.,,,unmatched
29/11/2023,La russia in quattro criminali,,Federico Varese,9788806257903,matched
01/12/2023,Il grifone,bello.,,,unmatched
07/12/2023,Prospettive cosmiche,interessante.,,,unmatched
09/12/2023,"Oggi, per sempre","filtrata un bel po' di fuffa, ma interessante.","Deborah Wearing, T. Franzosi",9788820039837,matched
13/12/2023,La fame che abbiamo,,,9788804544111,matched
